"id";"nombre";"abreviatura";"urlgob";"url";"facebook";"twitter";"instagram";"linkedin";"youtube";"tiktok"
1673;"Municipalidad Distrital de Ubinas";"MDU";"/muniubinas";"www.gob.pe/muniubinas";"www.facebook.com/Municipalidad-Distrital-de-Ubinas-Oficial-106202707456351";"";"";"";"";""
1674;"Municipalidad Distrital de Yunga";"MDY";"/muniyunga";"www.gob.pe/muniyunga";"www.facebook.com/MunicipalidadDistritalYunga?mibextid=ZbWKwL";"";"";"";"";""
1675;"Municipalidad Provincial General Sánchez Cerro";"MPGSC";"/munigeneralsanchezcerro";"www.gob.pe/munigeneralsanchezcerro";"www.facebook.com/MuniProvincialGeneralSanchezCerro";"www.twitter.com/MuniOmate";"";"";"";""
1676;"Municipalidad Distrital de El Algarrobal";"MDEA";"/munielalgarrobal";"www.gob.pe/munielalgarrobal";"www.facebook.com/municipalidaddistritaldeelalgarrobal";"";"";"";"";""
1677;"Municipalidad Distrital de Pacocha";"MDP";"/munipacocha";"www.gob.pe/munipacocha";"www.facebook.com/profile.php?id=100068329534832";"";"";"";"";""
1678;"Municipalidad Provincial de Ilo";"MPI";"/muniilo";"www.gob.pe/muniilo";"www.facebook.com/municipiodeilo";"";"";"";"www.youtube.com/channel/UCg_8IOblRwnfzoRejIrSLNQ";""
1679;"Municipalidad Distrital de Carumas";"MD - CARUMAS";"/municarumas";"www.gob.pe/municarumas";"www.facebook.com/profile.php?id=100089323804845";"";"";"";"";""
1680;"Municipalidad Distrital de Cuchumbaya";"MDC";"/municuchumbaya";"www.gob.pe/municuchumbaya";"www.facebook.com/profile.php?id=100089268074943";"";"";"";"";""
1681;"Municipalidad Distrital de Torata";"MDT";"/munitorata";"www.gob.pe/munitorata";"www.facebook.com/MunicipalidadDistritaldeTorata/?ref=embed_page";"";"";"";"www.youtube.com/watch?v=tn7McHjSRTE";""
1682;"Municipalidad Provincial de Mariscal Nieto";"MPMN";"/munimariscalnieto";"www.gob.pe/munimariscalnieto";"www.facebook.com/munimoquegua";"www.twitter.com/munimoquegua";"";"";"www.youtube.com/channel/UChmrLa4itmUkmFWky7wc5vg";""
1683;"Municipalidad Distrital de Chacayán";"MDCH";"/munichacayan";"www.gob.pe/munichacayan";"www.facebook.com/profile.php?id=100089063834878";"";"";"";"www.youtube.com/channel/UCqrHtNf50aoRgEllXtpxTxQ";""
1684;"Municipalidad Distrital de Paucar";"MDP";"/munipaucar";"www.gob.pe/munipaucar";"www.facebook.com/profile.php?id=100089796365752";"";"";"";"";""
1685;"Municipalidad Distrital de San Pedro de Pillao";"MDSPP";"/munisanpedropillao";"www.gob.pe/munisanpedropillao";"www.facebook.com/MUNISANPEDROPILLAO/";"";"";"";"";""
1686;"Municipalidad Distrital de Constitución";"MDC";"/municonstitucion";"www.gob.pe/municonstitucion";"www.facebook.com/profile.php?id=100093549926406&locale";"";"";"";"www.youtube.com/channel/UCwn_SCPTpSCVZ2znUowpV8w";""
1687;"Municipalidad Distrital de Palcazú";"MDP";"/munipalcazu";"www.gob.pe/munipalcazu";"www.facebook.com/Municipalidaddepalcazu1?mibextid=ZbWKwL";"";"";"";"www.youtube.com/@MunicipalidadDepalcazu";"www.tiktok.com/@munipalcazu"
1688;"Municipalidad Distrital de Puerto Bermúdez";"M.D.P.B";"/munipuertobermudez";"www.gob.pe/munipuertobermudez";"www.facebook.com/PuertoBermudezMunicipalidad";"";"";"";"";"www.tiktok.com/@mdpuertobermudez"
1689;"Municipalidad Distrital de Villa Rica";"MDVR";"/munivillarica";"www.gob.pe/munivillarica";"www.facebook.com/muniivillarica";"";"";"";"www.youtube.com/channel/UCuQN9FVsU-WMlpQiAQs1n2A";""
1690;"Municipalidad Provincial de Oxapampa";"MPO";"/munioxapampa";"www.gob.pe/munioxapampa";"www.facebook.com//munioxa/";"";"";"";"";""
1691;"Municipalidad Distrital de Huariaca";"MDH";"/munihuariaca";"www.gob.pe/munihuariaca";"www.facebook.com/Cercadesugente";"";"";"";"";""
1692;"Municipalidad Distrital de Huayllay";"MDH";"/munihuayllay";"www.gob.pe/munihuayllay";"www.facebook.com/municipalidadhuayllay";"";"";"";"www.youtube.com/channel/UCxs9V6f5bu2ZpMasT0p8RoA";""
1693;"Municipalidad Distrital de Ninacaca";"MDN";"/munininacaca";"www.gob.pe/munininacaca";"www.facebook.com/ESCORS.SAC/";"";"";"";"";""
1694;"Municipalidad Distrital de Paucartambo";"MDP";"/munipaucartambo-pasco";"www.gob.pe/munipaucartambo-pasco";"www.facebook.com/profile.php?id=100089100702935";"";"";"";"";""
1695;"Municipalidad Distrital de San Francisco de Asís de Yarusyacan";"MDSFAY";"/munisanfranciscodeasisdeyarusyacan";"www.gob.pe/munisanfranciscodeasisdeyarusyacan";"www.facebook.com/profile.php?id=100067983793640";"";"";"";"";""
1696;"Municipalidad Distrital de Ticlacayan";"MDT";"/muniticlacayan";"www.gob.pe/muniticlacayan";"www.facebook.com/MunicipalidadDistritalDeTiclacayanOficial/";"";"www.instagram.com/mundisticlacayan";"";"www.youtube.com/channel/UCwwGJMdlKRVMY8fqxj1D0Ig";"www.tiktok.com/@ticlacayan2023_2026"
1697;"Municipalidad Distrital Fundición de Tinyahuarco";"MDFT";"/munifundiciondetinyahuarco";"www.gob.pe/munifundiciondetinyahuarco";"www.facebook.com/MuniTinyahuarco2023";"";"";"";"";""
1698;"Municipalidad Distrital de Vicco";"MDV";"/munivicco";"www.gob.pe/munivicco";"www.facebook.com/profile.php?id=100089348202666&mibextid=ZbWKwL";"";"";"";"";""
1699;"Municipalidad Distrital de Yanacancha - Pasco";"MDY";"/muniyanacancha-pasco";"www.gob.pe/muniyanacancha-pasco";"www.facebook.com/profile.php?id=100089973444444";"";"";"";"www.youtube.com/@municipalidadyanacancha";"www.tiktok.com/@muniyanacancha"
1700;"Municipalidad Provincial de Pasco";"MPP";"/munipasco";"www.gob.pe/munipasco";"www.facebook.com/MuniProvPasco";"";"";"";"";""
1701;"Municipalidad Distrital de Frias";"MDF";"/munifrias";"www.gob.pe/munifrias";"www.facebook.com/MunicipalidadDeFrias";"";"www.instagram.com/md_frias";"";"";""
1702;"Municipalidad Distrital de Jililí";"MDJ";"/munijilili";"www.gob.pe/munijilili";"www.facebook.com/municipalidaddejilili";"";"";"";"";""
1703;"Municipalidad Distrital de Lagunas - Ayabaca";"MDL";"/munilagunas-ayabaca";"www.gob.pe/munilagunas-ayabaca";"www.facebook.com/munilagunasayabacapiura";"";"";"";"";""
1704;"Municipalidad Distrital de Montero";"MDM";"/munimontero";"www.gob.pe/munimontero";"www.facebook.com/profile.php?id=100089380202112";"";"";"";"";""
1705;"Municipalidad Distrital de Pacaipampa";"MD - PACAIPAMPA";"/munipacaipampa";"www.gob.pe/munipacaipampa";"www.facebook.com/municipalidadpacaipampa";"";"";"";"";""
1706;"Municipalidad Distrital de Paimas";"MDP";"/munipaimas";"www.gob.pe/munipaimas";"www.facebook.com/people/Municipalidad-de-Paimas-2023-2026/100078004219695/?mibextid=ZbWKwL";"";"";"";"";""
1707;"Municipalidad Distrital de Sapillica";"MDS";"/munisapillica";"www.gob.pe/munisapillica";"www.facebook.com/people/Municipalidad-Distrital-de-Sapillica-2023-2026/100069289776342/";"";"";"";"";""
1708;"Municipalidad Distrital de Sicchez";"MDS";"/munisicchez";"www.gob.pe/munisicchez";"www.facebook.com/profile.php?id=100089422457902";"";"";"";"";""
1709;"Municipalidad Distrital de Suyo";"MDS";"/munisuyo";"www.gob.pe/munisuyo";"www.facebook.com/profile.php?id=100064546277842&mibextid=ZbWKwL";"";"";"";"";""
1710;"Municipalidad Provincial de Ayabaca";"MPA-AYABACA";"/muniprovincialayabaca";"www.gob.pe/muniprovincialayabaca";"www.facebook.com/MunicipalidadProvincialDeAyabaca/";"";"";"";"";""
1711;"Municipalidad Distrital de Canchaque";"MDC";"/municanchaque";"www.gob.pe/municanchaque";"www.facebook.com/MDCanchaque";"";"www.instagram.com/MDCanchaque";"";"";"www.tiktok.com/@mdcanchaque"
1712;"Municipalidad Distrital de Huarmaca";"MDH";"/munihuarmaca";"www.gob.pe/munihuarmaca";"www.facebook.com/munihuarmaca";"";"";"";"";""
1713;"Municipalidad Distrital de San Miguel de El Faique (Mdsmf)";"MDSMF";"/munisanmigueldeelfaique";"www.gob.pe/munisanmigueldeelfaique";"www.facebook.com/Munifaique?mibextid=ZbWKwL";"";"";"";"";"www.tiktok.com/@munifaique"
1714;"Municipalidad Distrital de Sondor ";"MDS";"/munisondor";"www.gob.pe/munisondor";"www.facebook.com/MunicipalidadDistritalSondor";"";"";"";"";""
1715;"Municipalidad Distrital de Sondorillo";"MDS";"/munisondorillo";"www.gob.pe/munisondorillo";"www.facebook.com/Munisondorillo/";"";"";"";"";""
1716;"Municipalidad Provincial de Huancabamba";"MP-HUANCABAMBA";"/munihuancabamba";"www.gob.pe/munihuancabamba";"www.facebook.com/MunicipalidadProvincialDeHuancabambaOficial/";"";"";"";"";""
1717;"Municipalidad Distrital de Buenos Aires - Morropón";"MDBA";"/munibuenosaires-morropon";"www.gob.pe/munibuenosaires-morropon";"www.facebook.com/Muni.MDBA";"";"";"";"";""
1718;"Municipalidad Distrital de Chalaco";"MDC";"/munichalaco";"www.gob.pe/munichalaco";"www.facebook.com/profile.php?id=61555757053740&mibextid=ZbWKwL";"";"";"";"";""
1719;"Municipalidad Distrital de La Matanza";"MDLM";"/munilamatanza";"www.gob.pe/munilamatanza";"www.facebook.com/MunicipalidadDistritalLaMatanza";"";"";"";"";""
1720;"Municipalidad Distrital de Morropón";"MDM";"/munimorropon";"www.gob.pe/munimorropon";"";"";"";"";"www.youtube.com/channel/UCyZGeWRYBlmcqUjTEMCdF2A";"www.tiktok.com/@munimorropon"
